food_id,food_name,meal_category,calories,protein_g,carbs_g,fats_g,diet_type,goal
1,Greek Yogurt,Breakfast,593,44,54,8,Non-Veg,Maintenance
2,Tofu,Snack,470,11,35,3,Vegan,Weight Loss
3,Milk,Breakfast,597,29,58,34,Non-Veg,Maintenance
4,Broccoli,Snack,594,42,39,33,Vegan,Weight Loss
5,Quinoa,Lunch,143,8,30,30,Non-Veg,Muscle Gain
6,Salmon,Snack,191,47,79,32,Veg,Muscle Gain
7,Apple,Breakfast,376,49,71,6,Non-Veg,Muscle Gain
8,Dal,Snack,185,18,73,14,Non-Veg,Maintenance
9,Milk,Breakfast,212,23,26,7,Vegan,Muscle Gain
10,Peanut Butter,Snack,203,11,57,19,Veg,Muscle Gain
11,Boiled Chickpeas,Lunch,416,6,51,23,Veg,Weight Loss
12,Broccoli,Breakfast,619,25,78,33,Veg,Maintenance
13,Peanut Butter,Breakfast,231,30,63,17,Veg,Maintenance
14,Paneer,Snack,143,8,77,2,Vegan,Weight Loss
15,Brown Rice,Snack,563,47,36,14,Non-Veg,Weight Loss
16,Tofu,Breakfast,597,30,79,27,Non-Veg,Muscle Gain
17,Peanut Butter,Lunch,488,49,59,11,Vegan,Weight Loss
18,White Rice,Lunch,360,24,82,17,Non-Veg,Maintenance
19,Chicken Breast,Lunch,499,49,61,17,Vegan,Maintenance
20,White Rice,Breakfast,262,30,32,4,Non-Veg,Maintenance
21,Milk,Breakfast,522,15,21,26,Vegan,Weight Loss
22,Peanut Butter,Lunch,420,26,52,5,Vegan,Maintenance
23,Chapati,Breakfast,435,49,54,12,Vegan,Muscle Gain
24,Greek Yogurt,Breakfast,153,15,61,24,Vegan,Maintenance
25,Quinoa,Snack,586,8,28,27,Vegan,Maintenance
26,Banana,Lunch,104,47,36,9,Veg,Muscle Gain
27,Greek Yogurt,Lunch,408,22,68,21,Vegan,Maintenance
28,Chapati,Snack,375,24,33,26,Non-Veg,Muscle Gain
29,Peanut Butter,Lunch,649,26,81,4,Veg,Weight Loss
30,Peanut Butter,Dinner,480,20,59,24,Vegan,Weight Loss
31,Salmon,Lunch,200,36,43,35,Vegan,Weight Loss
32,Oats,Dinner,500,44,35,32,Veg,Muscle Gain
33,Brown Rice,Lunch,413,32,79,35,Veg,Maintenance
34,Chapati,Snack,299,33,65,16,Vegan,Weight Loss
35,Quinoa,Snack,334,37,70,34,Non-Veg,Muscle Gain
36,Paneer,Snack,192,27,65,2,Non-Veg,Weight Loss
37,Broccoli,Lunch,568,48,48,12,Vegan,Weight Loss
38,Boiled Chickpeas,Snack,261,9,85,17,Non-Veg,Weight Loss
39,Quinoa,Snack,563,48,17,18,Vegan,Muscle Gain
40,Chicken Breast,Snack,376,38,43,27,Non-Veg,Maintenance
41,White Rice,Dinner,174,43,30,5,Veg,Maintenance
42,Banana,Breakfast,213,9,82,12,Veg,Maintenance
43,Banana,Snack,598,30,41,13,Vegan,Muscle Gain
44,Brown Rice,Lunch,445,40,20,10,Veg,Maintenance
45,White Rice,Breakfast,236,49,24,31,Non-Veg,Muscle Gain
46,Quinoa,Breakfast,140,40,29,21,Non-Veg,Muscle Gain
47,Almonds,Snack,108,15,15,23,Vegan,Maintenance
48,Greek Yogurt,Breakfast,364,19,73,14,Vegan,Weight Loss
49,Paneer,Dinner,110,9,77,29,Non-Veg,Muscle Gain
50,Brown Rice,Snack,199,47,67,17,Veg,Weight Loss
51,Salmon,Dinner,408,36,89,15,Veg,Maintenance
52,Chicken Breast,Breakfast,553,31,24,27,Veg,Maintenance
53,Almonds,Dinner,515,49,23,33,Veg,Weight Loss
54,Banana,Snack,529,37,25,21,Vegan,Maintenance
55,Milk,Breakfast,617,25,72,17,Non-Veg,Maintenance
56,Oats,Lunch,400,19,43,31,Veg,Weight Loss
57,Tofu,Breakfast,193,32,13,6,Vegan,Maintenance
58,Brown Rice,Lunch,584,43,62,35,Veg,Weight Loss
59,Chapati,Snack,647,39,64,13,Veg,Maintenance
60,Quinoa,Dinner,483,16,22,4,Vegan,Weight Loss
61,Boiled Chickpeas,Breakfast,286,45,84,4,Non-Veg,Weight Loss
62,Greek Yogurt,Snack,313,41,72,29,Veg,Muscle Gain
63,Tofu,Snack,609,47,77,32,Non-Veg,Maintenance
64,Banana,Snack,347,32,74,27,Vegan,Muscle Gain
65,Milk,Dinner,326,43,18,11,Non-Veg,Maintenance
66,Boiled Chickpeas,Lunch,458,11,80,32,Veg,Maintenance
67,Banana,Dinner,198,22,38,35,Veg,Maintenance
