exercise_id,exercise_name,category,goal,level,equipment,duration_minutes,calories_burned
1,Leg Press,Legs,Weight Loss,Intermediate,Machine,60,720
2,Leg Curl,Legs,Weight Loss,Beginner,Dumbbell,30,270
3,Deadlift,Back,Maintenance,Intermediate,Barbell,40,360
4,Mountain Climbers,Core,Muscle Gain,Beginner,Dumbbell,60,420
5,Plank,Core,Muscle Gain,Intermediate,Bodyweight,20,140
6,Deadlift,Back,Muscle Gain,Intermediate,Barbell,60,360
7,Chest Fly,Chest,Muscle Gain,Beginner,Dumbbell,30,300
8,Lat Pulldown,Back,Maintenance,Beginner,Machine,20,240
9,Incline Press,Chest,Muscle Gain,Advanced,Dumbbell,20,120
10,Push-ups,Chest,Weight Loss,Advanced,Bodyweight,20,100
11,Mountain Climbers,Core,Muscle Gain,Beginner,Dumbbell,20,140
12,Burpees,Cardio,Muscle Gain,Advanced,Dumbbell,40,280
13,Cycling,Cardio,Weight Loss,Advanced,Machine,40,280
14,Bicep Curls,Arms,Maintenance,Intermediate,Dumbbell,40,240
15,Tricep Dips,Arms,Weight Loss,Intermediate,Bodyweight,20,240
16,Burpees,Cardio,Weight Loss,Beginner,Dumbbell,20,160
17,Running,Cardio,Maintenance,Advanced,Bodyweight,60,660
18,Pull-ups,Back,Muscle Gain,Advanced,Dumbbell,20,160
19,Mountain Climbers,Core,Weight Loss,Intermediate,Dumbbell,30,210
20,Running,Cardio,Maintenance,Intermediate,Bodyweight,30,210
21,Shoulder Press,Shoulders,Maintenance,Advanced,Dumbbell,60,300
22,Push-ups,Chest,Weight Loss,Intermediate,Bodyweight,20,240
23,Bicep Curls,Arms,Weight Loss,Beginner,Dumbbell,60,600
24,Deadlift,Back,Weight Loss,Beginner,Barbell,30,180
25,Tricep Dips,Arms,Weight Loss,Intermediate,Bodyweight,30,240
26,Leg Press,Legs,Maintenance,Beginner,Machine,60,720
27,Deadlift,Back,Weight Loss,Beginner,Barbell,40,280
28,Bicep Curls,Arms,Maintenance,Advanced,Dumbbell,30,360
29,Chest Fly,Chest,Maintenance,Intermediate,Dumbbell,60,420
30,Shoulder Press,Shoulders,Maintenance,Beginner,Dumbbell,40,360
31,Jump Rope,Cardio,Maintenance,Advanced,Bodyweight,40,400
32,Tricep Dips,Arms,Maintenance,Advanced,Bodyweight,40,280
33,Deadlift,Back,Maintenance,Advanced,Barbell,30,300
34,Burpees,Cardio,Muscle Gain,Intermediate,Dumbbell,30,270
35,Incline Press,Chest,Maintenance,Advanced,Dumbbell,60,540
36,Running,Cardio,Weight Loss,Intermediate,Bodyweight,20,160
37,Plank,Core,Maintenance,Advanced,Bodyweight,60,300
38,Jump Rope,Cardio,Weight Loss,Advanced,Bodyweight,20,180
39,Cycling,Cardio,Muscle Gain,Advanced,Machine,20,120
40,Leg Curl,Legs,Muscle Gain,Beginner,Dumbbell,30,300
41,Push-ups,Chest,Weight Loss,Advanced,Bodyweight,60,720
42,Leg Press,Legs,Muscle Gain,Advanced,Machine,60,300
43,Deadlift,Back,Weight Loss,Advanced,Barbell,40,400
44,Shoulder Press,Shoulders,Maintenance,Advanced,Dumbbell,30,210
45,Pull-ups,Back,Weight Loss,Intermediate,Dumbbell,40,280
46,Shoulder Press,Shoulders,Weight Loss,Advanced,Dumbbell,20,240
47,Lat Pulldown,Back,Muscle Gain,Advanced,Machine,40,360
48,Mountain Climbers,Core,Muscle Gain,Beginner,Dumbbell,40,240
49,Pull-ups,Back,Muscle Gain,Advanced,Dumbbell,40,320
50,Lunges,Legs,Weight Loss,Intermediate,Dumbbell,20,160
51,Burpees,Cardio,Maintenance,Beginner,Dumbbell,60,600
52,Jump Rope,Cardio,Muscle Gain,Intermediate,Bodyweight,40,440
53,Jump Rope,Cardio,Weight Loss,Intermediate,Bodyweight,60,600
54,Plank,Core,Weight Loss,Advanced,Bodyweight,40,280
55,Lunges,Legs,Muscle Gain,Intermediate,Dumbbell,40,320
56,Cycling,Cardio,Muscle Gain,Advanced,Machine,30,210
57,Leg Press,Legs,Weight Loss,Beginner,Machine,30,270
58,Bicep Curls,Arms,Maintenance,Intermediate,Dumbbell,40,480
59,Running,Cardio,Maintenance,Beginner,Bodyweight,60,660
60,Squats,Legs,Muscle Gain,Beginner,Barbell,30,180
61,Bench Press,Chest,Maintenance,Beginner,Barbell,20,200
62,Running,Cardio,Maintenance,Intermediate,Bodyweight,20,100
63,Squats,Legs,Maintenance,Intermediate,Barbell,60,720
64,Burpees,Cardio,Maintenance,Intermediate,Dumbbell,30,360
65,Squats,Legs,Muscle Gain,Advanced,Barbell,30,360
66,Mountain Climbers,Core,Maintenance,Intermediate,Dumbbell,60,600
67,Leg Press,Legs,Weight Loss,Intermediate,Machine,60,420
68,Bench Press,Chest,Maintenance,Beginner,Barbell,40,480
69,Plank,Core,Muscle Gain,Advanced,Bodyweight,20,220
70,Burpees,Cardio,Maintenance,Advanced,Dumbbell,40,320
71,Incline Press,Chest,Maintenance,Beginner,Dumbbell,60,660
72,Deadlift,Back,Weight Loss,Advanced,Barbell,20,180
73,Squats,Legs,Maintenance,Intermediate,Barbell,40,200
74,Shoulder Press,Shoulders,Maintenance,Advanced,Dumbbell,40,240
75,Shoulder Press,Shoulders,Maintenance,Beginner,Dumbbell,30,240
76,Squats,Legs,Maintenance,Advanced,Barbell,60,600
77,Bicep Curls,Arms,Maintenance,Intermediate,Dumbbell,40,320
78,Burpees,Cardio,Weight Loss,Intermediate,Dumbbell,20,180
79,Leg Curl,Legs,Maintenance,Intermediate,Dumbbell,20,120
80,Lunges,Legs,Maintenance,Beginner,Dumbbell,30,270
81,Jump Rope,Cardio,Muscle Gain,Advanced,Bodyweight,40,440
82,Squats,Legs,Weight Loss,Beginner,Barbell,60,720
83,Tricep Dips,Arms,Maintenance,Beginner,Bodyweight,60,480
84,Jump Rope,Cardio,Maintenance,Advanced,Bodyweight,60,420
85,Bench Press,Chest,Muscle Gain,Intermediate,Barbell,40,320
86,Push-ups,Chest,Weight Loss,Intermediate,Bodyweight,30,150
87,Jump Rope,Cardio,Muscle Gain,Intermediate,Bodyweight,40,280
88,Squats,Legs,Maintenance,Beginner,Barbell,30,210
89,Chest Fly,Chest,Maintenance,Advanced,Dumbbell,20,180
90,Plank,Core,Maintenance,Advanced,Bodyweight,30,150
91,Deadlift,Back,Muscle Gain,Advanced,Barbell,40,440
92,Chest Fly,Chest,Maintenance,Beginner,Dumbbell,20,140
